#t   #theta   #omega   #xddot    #yddot
4.28 2.28687 3.23951 -9.71326 -8.53841
4.29 2.31869 3.1255 -9.43943 -8.62549
4.3 2.34939 3.01476 -9.16621 -8.70709
4.31 2.37899 2.90725 -8.89451 -8.78348
4.32 2.40754 2.80297 -8.62515 -8.85494
4.33 2.43506 2.70188 -8.35881 -8.92172
4.34 2.46159 2.60394 -8.09612 -8.98408
4.35 2.48715 2.5091 -7.83757 -9.04227
4.36 2.51178 2.41731 -7.58362 -9.09653
4.37 2.53551 2.32852 -7.33463 -9.1471
4.38 2.55836 2.24266 -7.09089 -9.1942
4.39 2.58037 2.15967 -6.85266 -9.23804
4.4 2.60157 2.07948 -6.62011 -9.27883
4.41 2.62197 2.00202 -6.39341 -9.31677
4.42 2.64162 1.92723 -6.17265 -9.35203
4.43 2.66052 1.85503 -5.95789 -9.3848
4.44 2.67872 1.78535 -5.74918 -9.41524
4.45 2.69624 1.71812 -5.54651 -9.44351
4.46 2.71309 1.65327 -5.34989 -9.46975
4.47 2.72931 1.59072 -5.15925 -9.49409
4.48 2.74492 1.5304 -4.97456 -9.51668
4.49 2.75993 1.47225 -4.79573 -9.53764
4.5 2.77437 1.4162 -4.62268 -9.55707
4.51 2.78826 1.36217 -4.45532 -9.57508
4.52 2.80162 1.3101 -4.29354 -9.59178
4.53 2.81447 1.25992 -4.13723 -9.60725
4.54 2.82682 1.21157 -3.98626 -9.62159
4.55 2.8387 1.16499 -3.84052 -9.63488
4.56 2.85013 1.12011 -3.69988 -9.64718
4.57 2.86111 1.07687 -3.5642 -9.65858
4.58 2.87167 1.03523 -3.43336 -9.66914
4.59 2.88182 0.995109 -3.30722 -9.67891
4.6 2.89158 0.956465 -3.18566 -9.68796
4.61 2.90096 0.919242 -3.06854 -9.69634
4.62 2.90997 0.883388 -2.95572 -9.7041
4.63 2.91863 0.848851 -2.84709 -9.71127
4.64 2.92695 0.815584 -2.7425 -9.71792
4.65 2.93494 0.783538 -2.64184 -9.72407
4.66 2.94262 0.752668 -2.54498 -9.72976
4.67 2.95 0.722929 -2.4518 -9.73502
4.68 2.95709 0.694277 -2.36219 -9.7399
4.69 2.96389 0.666672 -2.27601 -9.74441
4.7 2.97042 0.640073 -2.19318 -9.74858
4.71 2.97669 0.614441 -2.11356 -9.75244
4.72 2.98271 0.589738 -2.03706 -9.75601
4.73 2.98849 0.565928 -1.96357 -9.75931
4.74 2.99404 0.542975 -1.893 -9.76236
4.75 2.99935 0.520845 -1.82524 -9.76519
4.76 3.00446 0.499506 -1.7602 -9.7678
4.77 3.00935 0.478925 -1.69779 -9.77022
4.78 3.01404 0.459072 -1.63792 -9.77245
4.79 3.01853 0.439917 -1.5805 -9.77452
4.8 3.02284 0.421432 -1.52546 -9.77643
4.81 3.02696 0.403588 -1.47272 -9.77819
4.82 3.03091 0.386358 -1.42219 -9.77983
4.83 3.03469 0.369718 -1.37381 -9.78134
4.84 3.03831 0.35364 -1.3275 -9.78273
4.85 3.04177 0.338102 -1.28321 -9.78402
4.86 3.04507 0.32308 -1.24085 -9.78521
4.87 3.04823 0.308551 -1.20038 -9.78632
4.88 3.05124 0.294492 -1.16172 -9.78733
4.89 3.05412 0.280884 -1.12483 -9.78827
4.9 3.05686 0.267704 -1.08965 -9.78914
4.91 3.05948 0.254933 -1.05612 -9.78994
4.92 3.06196 0.242552 -1.02421 -9.79068
4.93 3.06433 0.230541 -0.993847 -9.79136
4.94 3.06657 0.218883 -0.965002 -9.79199
4.95 3.06871 0.207559 -0.937627 -9.79257
4.96 3.07073 0.196553 -0.911681 -9.7931
4.97 3.07264 0.185847 -0.887126 -9.7936
4.98 3.07444 0.175425 -0.863925 -9.79405
4.99 3.07615 0.165272 -0.842043 -9.79446
5 3.07775 0.155371 -0.821446 -9.79484
5.01 3.07926 0.145709 -0.802104 -9.79519
5.02 3.08067 0.136269 -0.783988 -9.79551
5.03 3.08198 0.127038 -0.767069 -9.7958
5.04 3.08321 0.118001 -0.751324 -9.79607
5.05 3.08434 0.109144 -0.736727 -9.79631
5.06 3.08539 0.100455 -0.723257 -9.79653
5.07 3.08635 0.0919196 -0.710893 -9.79673
5.08 3.08723 0.0835247 -0.699616 -9.7969
5.09 3.08802 0.0752578 -0.689411 -9.79706
5.1 3.08873 0.067106 -0.68026 -9.7972
5.11 3.08937 0.059057 -0.67215 -9.79732
5.12 3.08992 0.0510984 -0.665069 -9.79743
5.13 3.09039 0.043218 -0.659005 -9.79752
5.14 3.09078 0.0354038 -0.653951 -9.79759
5.15 3.0911 0.0276437 -0.649898 -9.79765
5.16 3.09133 0.019926 -0.64684 -9.79769
5.17 3.09149 0.0122389 -0.644772 -9.79772
5.18 3.09158 0.00457042 -0.643691 -9.79774
5.19 3.09159 -0.00309103 -0.643596 -9.79774
5.2 3.09152 -0.0107572 -0.644486 -9.79773
5.21 3.09137 -0.0184399 -0.646364 -9.7977
5.22 3.09115 -0.0261507 -0.64923 -9.79766
