#t   #theta   #omega   #xddot    #yddot
3.44 -2.45885 2.61408 9.28404 -9.79774
3.45 -2.43222 2.71236 9.58473 -9.79774
3.46 -2.40459 2.81378 9.88951 -9.79774
3.47 -2.37593 2.9184 10.1977 -9.79774
3.48 -2.34621 3.02624 10.5084 -9.79774
3.49 -2.3154 3.13733 10.8208 -9.79774
3.5 -2.28346 3.25168 11.1337 -9.79774
3.51 -2.25035 3.36928 11.4461 -9.79774
3.52 -2.21606 3.49013 11.7564 -9.79774
3.53 -2.18054 3.61419 12.0633 -9.79774
3.54 -2.14376 3.74143 12.3649 -9.79774
3.55 -2.1057 3.87177 12.6596 -9.79774
3.56 -2.06632 4.00514 12.9451 -9.79774
3.57 -2.02559 4.14142 13.2193 -9.79774
3.58 -1.98348 4.28049 13.4796 -9.79774
3.59 -1.93997 4.42219 13.7236 -9.79774
3.6 -1.89503 4.56633 13.9483 -9.79774
3.61 -1.84864 4.7127 14.1507 -9.79774
3.62 -1.80077 4.86105 14.3276 -9.79774
3.63 -1.75141 5.01109 14.4756 -9.79774
3.64 -1.70054 5.16251 14.5913 -9.79774
3.65 -1.64816 5.31496 14.671 -9.79774
3.66 -1.59424 5.46802 14.711 -9.79774
3.67 -1.53879 5.62128 14.7075 -9.79774
3.68 -1.48182 5.77426 14.6568 -9.79774
3.69 -1.42331 5.92646 14.5553 -9.79774
3.7 -1.36329 6.07731 14.3993 -9.79774
3.71 -1.30177 6.22624 14.1857 -9.79774
3.72 -1.23878 6.37263 13.9113 -9.79774
3.73 -1.17433 6.51584 13.5736 -9.79774
3.74 -1.10847 6.65519 13.1702 -9.79774
3.75 -1.04124 6.78999 12.6995 -9.79774
3.76 -0.972689 6.91953 12.1605 -9.79774
3.77 -0.902871 7.04309 11.5529 -9.79774
3.78 -0.83185 7.15997 10.877 -9.79774
3.79 -0.759696 7.26946 10.1342 -9.79774
3.8 -0.686488 7.37088 9.32672 -9.79774
3.81 -0.612308 7.46356 8.45756 -9.79774
3.82 -0.537248 7.54688 7.53074 -9.79774
3.83 -0.461403 7.62026 6.55119 -9.79774
3.84 -0.384877 7.6832 5.52468 -9.79774
3.85 -0.307776 7.73522 4.45776 -9.79774
3.86 -0.23021 7.77595 3.3577 -9.79774
3.87 -0.152295 7.80509 2.23238 -9.79774
3.88 -0.0741481 7.8224 1.09009 -9.79774
3.89 0.00411268 7.82777 -0.060518 -9.79774
3.9 0.0823672 7.82114 -1.21066 -9.79774
3.91 0.160496 7.80258 -2.35157 -9.79774
3.92 0.238379 7.77221 -3.47463 -9.79774
3.93 0.315901 7.73028 -4.57156 -9.79774
3.94 0.392947 7.67709 -5.63456 -9.79774
3.95 0.469407 7.61304 -6.65644 -9.79774
3.96 0.545173 7.53858 -7.6307 -9.79774
3.97 0.620146 7.45425 -8.55168 -9.79774
3.98 0.694227 7.36062 -9.41454 -9.79774
3.99 0.767329 7.25833 -10.2154 -9.79774
4 0.839367 7.14803 -10.9512 -9.79774
