#t   #theta   #omega   #xddot    #yddot
3.08 -2.96975 0.642822 2.33278 -9.76881
3.09 -2.96319 0.669525 2.42092 -9.76636
3.1 -2.95635 0.697238 2.5126 -9.76371
3.11 -2.94924 0.726002 2.60794 -9.76084
3.12 -2.94183 0.755858 2.70707 -9.75775
3.13 -2.93412 0.786849 2.81011 -9.7544
3.14 -2.92609 0.819021 2.91719 -9.75078
3.15 -2.91773 0.85242 3.02845 -9.74688
3.16 -2.90904 0.887092 3.14401 -9.74265
3.17 -2.89999 0.923088 3.26401 -9.73809
3.18 -2.89057 0.960458 3.38859 -9.73317
3.19 -2.88077 0.999254 3.5179 -9.72784
3.2 -2.87058 1.03953 3.65206 -9.7221
3.21 -2.85998 1.08134 3.79122 -9.71589
3.22 -2.84895 1.12475 3.93552 -9.70919
3.23 -2.83748 1.1698 4.08509 -9.70195
3.24 -2.82555 1.21657 4.24008 -9.69414
3.25 -2.81314 1.2651 4.40062 -9.68571
3.26 -2.80024 1.31548 4.56685 -9.67661
3.27 -2.78682 1.36775 4.73887 -9.66679
3.28 -2.77288 1.42199 4.91682 -9.6562
3.29 -2.75838 1.47826 5.10081 -9.64477
3.3 -2.74331 1.53664 5.29093 -9.63245
3.31 -2.72764 1.59718 5.48728 -9.61917
3.32 -2.71135 1.65997 5.68992 -9.60485
3.33 -2.69443 1.72507 5.89893 -9.58943
3.34 -2.67684 1.79256 6.11433 -9.57281
3.35 -2.65857 1.8625 6.33613 -9.55492
3.36 -2.63959 1.93497 6.56435 -9.53565
3.37 -2.61986 2.01003 6.79892 -9.51492
3.38 -2.59938 2.08777 7.03977 -9.49262
3.39 -2.5781 2.16825 7.2868 -9.46865
3.4 -2.556 2.25154 7.53983 -9.44288
3.41 -2.53306 2.33771 7.79868 -9.4152
3.42 -2.50924 2.42682 8.06306 -9.38548
3.43 -2.48451 2.51892 8.33266 -9.35359
3.44 -2.45885 2.61408 8.60708 -9.3194
3.45 -2.43222 2.71236 8.88584 -9.28276
3.46 -2.40459 2.81378 9.1684 -9.24352
3.47 -2.37593 2.9184 9.45409 -9.20155
3.48 -2.34621 3.02624 9.74217 -9.15667
3.49 -2.3154 3.13733 10.0318 -9.10874
3.5 -2.28346 3.25168 10.3219 -9.0576
3.51 -2.25035 3.36928 10.6115 -9.0031
3.52 -2.21606 3.49013 10.8992 -8.94507
3.53 -2.18054 3.61419 11.1837 -8.88337
3.54 -2.14376 3.74143 11.4633 -8.81786
3.55 -2.1057 3.87177 11.7365 -8.7484
3.56 -2.06632 4.00514 12.0012 -8.67486
3.57 -2.02559 4.14142 12.2553 -8.59714
3.58 -1.98348 4.28049 12.4967 -8.51516
3.59 -1.93997 4.42219 12.7229 -8.42884
3.6 -1.89503 4.56633 12.9312 -8.33814
3.61 -1.84864 4.7127 13.1189 -8.24307
3.62 -1.80077 4.86105 13.2829 -8.14365
3.63 -1.75141 5.01109 13.4201 -8.03997
3.64 -1.70054 5.16251 13.5274 -7.93213
3.65 -1.64816 5.31496 13.6012 -7.82033
3.66 -1.59424 5.46802 13.6383 -7.70479
3.67 -1.53879 5.62128 13.635 -7.58582
3.68 -1.48182 5.77426 13.5881 -7.46379
3.69 -1.42331 5.92646 13.4939 -7.33914
3.7 -1.36329 6.07731 13.3494 -7.21238
3.71 -1.30177 6.22624 13.1513 -7.08411
3.72 -1.23878 6.37263 12.897 -6.95501
3.73 -1.17433 6.51584 12.5838 -6.82581
3.74 -1.10847 6.65519 12.2099 -6.69733
3.75 -1.04124 6.78999 11.7735 -6.57047
3.76 -0.972689 6.91953 11.2738 -6.44615
3.77 -0.902871 7.04309 10.7105 -6.32538
3.78 -0.83185 7.15997 10.0839 -6.20917
3.79 -0.759696 7.26946 9.39528 -6.09858
3.8 -0.686488 7.37088 8.64665 -5.99465
3.81 -0.612308 7.46356 7.84086 -5.89841
3.82 -0.537248 7.54688 6.98163 -5.81087
3.83 -0.461403 7.62026 6.0735 -5.73295
3.84 -0.384877 7.6832 5.12184 -5.66553
3.85 -0.307776 7.73522 4.13271 -5.60939
3.86 -0.23021 7.77595 3.11287 -5.56516
3.87 -0.152295 7.80509 2.0696 -5.53339
3.88 -0.0741481 7.8224 1.0106 -5.51444
3.89 0.00411268 7.82777 -0.0561052 -5.50857
3.9 0.0823672 7.82114 -1.12239 -5.51582
3.91 0.160496 7.80258 -2.1801 -5.53613
3.92 0.238379 7.77221 -3.22127 -5.56923
3.93 0.315901 7.73028 -4.23822 -5.61473
3.94 0.392947 7.67709 -5.22371 -5.6721
3.95 0.469407 7.61304 -6.17107 -5.74066
3.96 0.545173 7.53858 -7.0743 -5.81963
3.97 0.620146 7.45425 -7.92812 -5.90813
3.98 0.694227 7.36062 -8.72806 -6.00523
3.99 0.767329 7.25833 -9.47051 -6.10991
4 0.839367 7.14803 -10.1527 -6.22114
4.01 0.910265 7.03041 -10.7727 -6.33787
4.02 0.979953 6.90618 -11.3293 -6.45907
4.03 1.04837 6.77606 -11.8223 -6.58369
4.04 1.11546 6.64075 -12.2521 -6.71077
4.05 1.18117 6.50096 -12.6196 -6.83936
4.06 1.24546 6.35739 -12.9264 -6.96859
4.07 1.30831 6.2107 -13.1747 -7.09764
4.08 1.36967 6.06154 -13.367 -7.22578
4.09 1.42953 5.91052 -13.5061 -7.35235
4.1 1.48788 5.75822 -13.5952 -7.47675
4.11 1.54469 5.60518 -13.6374 -7.59847
4.12 1.59998 5.45192 -13.6362 -7.7171
4.13 1.65373 5.2989 -13.5951 -7.83226
4.14 1.70596 5.14655 -13.5176 -7.94365
4.15 1.75667 4.99526 -13.4071 -8.05106
4.16 1.80587 4.84538 -13.2668 -8.1543
4.17 1.85358 4.69722 -13.1002 -8.25327
4.18 1.89982 4.55108 -12.9102 -8.34788
4.19 1.94461 4.40718 -12.6999 -8.43811
4.2 1.98797 4.26575 -12.4721 -8.52397
4.21 2.02993 4.12697 -12.2292 -8.60551
4.22 2.07052 3.99099 -11.9738 -8.68278
4.23 2.10976 3.85793 -11.7081 -8.75588
4.24 2.14769 3.72791 -11.4342 -8.82493
4.25 2.18433 3.60101 -11.154 -8.89003
4.26 2.21972 3.47728 -10.8691 -8.95134
4.27 2.25389 3.35677 -10.5811 -9.00899
4.28 2.28687 3.23951 -10.2914 -9.06313
